epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,30.5449,2.52273,20.4904,0.00263,0.71999,0.78159,0.71541,0.35777,1.75343,nan,0.00196,0.000665158,0.000665158,0.000665158
2,58.8216,1.64771,5.54159,0.00154,0.95391,0.85138,0.86499,0.56686,1.37923,nan,0.00155,0.00131864,0.00131864,0.00131864
3,86.8135,1.51704,2.6388,0.00141,0.96417,0.8619,0.89136,0.59464,1.27378,nan,0.00141,0.00195892,0.00195892,0.00195892
4,112.901,1.35488,1.63576,0.00129,0.95849,0.85932,0.88875,0.63219,1.28458,nan,0.00142,0.0019406,0.0019406,0.0019406
5,140.312,1.29824,1.2714,0.00121,0.97546,0.88051,0.90035,0.6798,1.06398,nan,0.00115,0.0019208,0.0019208,0.0019208
6,166.481,1.19206,1.1086,0.0011,0.97814,0.87654,0.89298,0.64516,1.09755,nan,0.00119,0.001901,0.001901,0.001901
7,192.519,1.24169,0.99751,0.00115,0.96516,0.88247,0.88233,0.69857,1.01441,nan,0.00114,0.0018812,0.0018812,0.0018812
8,218.723,1.104,0.90235,0.00104,0.97955,0.89146,0.908,0.69619,0.98972,nan,0.0011,0.0018614,0.0018614,0.0018614
9,244.765,1.08297,0.87712,0.001,0.95486,0.87267,0.89465,0.68738,1.01438,1.3323,0.00116,0.0018416,0.0018416,0.0018416
10,270.759,1.09887,0.82066,0.00101,0.9728,0.88541,0.88879,0.71157,1.03154,nan,0.00115,0.0018218,0.0018218,0.0018218
11,296.99,1.10123,0.76728,0.00098,0.97992,0.88639,0.90531,0.73362,0.96423,nan,0.00105,0.001802,0.001802,0.001802
12,323.296,0.98282,0.72482,0.00089,0.98031,0.89226,0.90775,0.74957,0.91098,nan,0.00097,0.0017822,0.0017822,0.0017822
13,349.492,0.97232,0.67295,0.00088,0.98994,0.88834,0.90273,0.74008,0.90166,0.70741,0.00101,0.0017624,0.0017624,0.0017624
14,375.546,0.96454,0.65957,0.00085,0.97937,0.88328,0.90668,0.75663,0.88869,nan,0.001,0.0017426,0.0017426,0.0017426
15,401.625,0.92299,0.65165,0.00084,0.99016,0.8872,0.90225,0.76272,0.87708,nan,0.00098,0.0017228,0.0017228,0.0017228
16,427.774,0.92005,0.64893,0.00083,0.9857,0.89226,0.90898,0.76911,0.81631,0.68725,0.0009,0.001703,0.001703,0.001703
17,453.794,0.97135,0.66898,0.00088,0.97863,0.89705,0.90026,0.75574,0.863,0.67164,0.00096,0.0016832,0.0016832,0.0016832
18,479.8,0.93761,0.62835,0.00086,0.98619,0.9001,0.91071,0.75458,0.83744,0.62868,0.00092,0.0016634,0.0016634,0.0016634
19,505.778,0.94626,0.64756,0.00084,0.98965,0.89324,0.90086,0.76638,0.81587,0.63335,0.00091,0.0016436,0.0016436,0.0016436
20,531.716,0.92291,0.61844,0.00082,0.98714,0.90187,0.90477,0.77361,0.83019,0.67466,0.00092,0.0016238,0.0016238,0.0016238
21,557.783,0.88264,0.57337,0.00078,0.98606,0.90083,0.9045,0.77033,0.81782,0.62486,0.00091,0.001604,0.001604,0.001604
22,583.817,0.86819,0.58125,0.00077,0.99224,0.89716,0.91145,0.77139,0.81268,nan,0.00091,0.0015842,0.0015842,0.0015842
23,609.854,0.91751,0.60202,0.00084,0.98269,0.88982,0.9037,0.77055,0.82508,0.64433,0.00094,0.0015644,0.0015644,0.0015644
24,635.907,0.87157,0.56195,0.00077,0.99566,0.89967,0.91065,0.777,0.79788,0.60072,0.00089,0.0015446,0.0015446,0.0015446
25,661.977,0.84177,0.54932,0.00074,0.98343,0.90206,0.91137,0.78956,0.75947,0.53617,0.00083,0.0015248,0.0015248,0.0015248
26,688.046,0.86214,0.58961,0.00075,0.99617,0.9001,0.91214,0.78702,0.75313,0.54658,0.00083,0.001505,0.001505,0.001505
27,714.082,0.84887,0.56837,0.00076,0.99231,0.9001,0.90914,0.79005,0.76,0.55495,0.00086,0.0014852,0.0014852,0.0014852
28,740.221,0.82577,0.55575,0.00072,0.99566,0.89843,0.90479,0.79732,0.75133,0.59352,0.00084,0.0014654,0.0014654,0.0014654
29,766.612,0.79558,0.51976,0.00068,0.99118,0.9001,0.91527,0.80197,0.71391,0.60175,0.0008,0.0014456,0.0014456,0.0014456
30,792.851,0.80952,0.53209,0.00073,0.98811,0.89814,0.91271,0.78075,0.7779,0.57356,0.00086,0.0014258,0.0014258,0.0014258
31,819.084,0.82849,0.53313,0.00073,0.99137,0.90061,0.91031,0.79785,0.72048,0.54317,0.00079,0.001406,0.001406,0.001406
32,845.261,0.77946,0.50702,0.00067,0.98875,0.9001,0.91242,0.79809,0.73199,0.53796,0.0008,0.0013862,0.0013862,0.0013862
33,871.456,0.81717,0.54882,0.00071,0.98386,0.89548,0.90706,0.7971,0.73398,0.56972,0.0008,0.0013664,0.0013664,0.0013664
34,897.642,0.80017,0.55734,0.00071,0.99235,0.90304,0.91531,0.79733,0.76435,0.54601,0.00086,0.0013466,0.0013466,0.0013466
35,923.779,0.77441,0.50884,0.00065,0.99433,0.89912,0.91655,0.78483,0.76527,0.51634,0.00086,0.0013268,0.0013268,0.0013268
36,949.882,0.77379,0.50483,0.00065,0.9935,0.89757,0.91342,0.81211,0.69944,0.5151,0.0008,0.001307,0.001307,0.001307
37,976.017,0.76937,0.53841,0.00067,0.99241,0.89669,0.9153,0.80668,0.67514,0.51483,0.00074,0.0012872,0.0012872,0.0012872
38,1002.24,0.77797,0.51139,0.0007,0.99556,0.905,0.91473,0.81414,0.67826,0.51319,0.00075,0.0012674,0.0012674,0.0012674
39,1028.42,0.76074,0.46942,0.00065,0.99565,0.89753,0.91577,0.81603,0.68216,0.51695,0.00075,0.0012476,0.0012476,0.0012476
40,1054.59,0.72632,0.44695,0.00063,0.98816,0.89889,0.91166,0.82514,0.65533,0.50413,0.00072,0.0012278,0.0012278,0.0012278
41,1080.75,0.7362,0.50253,0.00063,0.98846,0.90793,0.91728,0.81291,0.69293,0.50599,0.00075,0.001208,0.001208,0.001208
42,1106.93,0.72983,0.46199,0.00062,0.97969,0.9001,0.91586,0.81843,0.67098,0.53234,0.00072,0.0011882,0.0011882,0.0011882
43,1132.96,0.72728,0.47506,0.00062,0.98819,0.90154,0.91144,0.82275,0.63454,0.50048,0.00067,0.0011684,0.0011684,0.0011684
44,1158.99,0.70718,0.4554,0.0006,0.99168,0.90793,0.91679,0.82598,0.64823,0.47843,0.0007,0.0011486,0.0011486,0.0011486
45,1185.19,0.72905,0.45208,0.00063,0.99463,0.90623,0.91673,0.82099,0.64659,0.48664,0.00067,0.0011288,0.0011288,0.0011288
46,1211.33,0.69991,0.43204,0.00058,0.99586,0.90304,0.91815,0.82988,0.63776,0.49175,0.00068,0.001109,0.001109,0.001109
